,X1,X2,X3,X4
1,lassets,-0.004494601,0.004206319,0.285660417
,,0.004206319,,
2,log10(kkm),-0.010157921,0.003704429,0.006266276
,,0.003704429,,
3,log10(education),-0.017718414,0.019929104,0.374280501
,,0.019929104,,
4,d_fdev,-0.000126627,0.000266833,0.635256705
,,0.000266833,,
5,log10(asset_structure + 1),-0.249459188,0.097533452,0.010754382
,,0.097533452,,
6,log10(profit_margin),0.0007923,0.002692382,0.768638379
,,0.002692382,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
7,ageNew,0.003194751,0.005183968,0.537920373
,,0.005183968,,
8,ageYoung,-0.003497183,0.003303361,0.290126359
,,0.003303361,,
