X1,Fixed,X4,Fixed3,X7,Fixed5,X10,Random,X4,Pooling,X7
(Intercept),,,,,,,0.3617,0.0000,-1.1342,0.0000
,,,,,,,0.0429,,0.1745,
lassets,-0.0267,0.0007,-0.0114,0.0916,0.0070,0.1391,-0.0266,0.0000,0.1260,0.0000
,0.0078,,0.0068,,-0.0104,,0.0044,,0.0133,
log10(kkm),0.0003,0.9647,-0.0005,0.9303,0.0061,0.9437,-0.0018,0.7279,0.0326,0.0675
,0.0069,,0.0059,,-0.0004,,0.0052,,0.0178,
log10(education),-0.0427,0.2497,-0.0308,0.3328,0.0332,0.3279,-0.0366,0.1221,0.1327,0.0752
,0.0371,,0.0318,,-0.0325,,0.0236,,0.0745,
d_fdev,-0.0005,0.3384,-0.0007,0.1164,0.0004,0.1208,-0.0004,0.3281,0.0034,0.0340
,0.0005,,0.0004,,-0.0007,,0.0004,,0.0016,
log10(asset_structure + 1),0.2466,0.1744,0.2834,0.0699,0.1651,0.1151,-0.0335,0.7947,-0.0618,0.8950
,0.1814,,0.1561,,0.2606,,0.1286,,0.4685,
log10(profit_margin),0.0100,0.0456,0.0094,0.0297,0.0046,0.0809,0.0168,0.0003,-0.1817,0.0000
,0.0050,,0.0043,,0.0081,,0.0047,,0.0211,
currentlegalstatusCredit Union/ Cooperative,,,,,,,-0.0196,0.1138,0.1246,0.0001
,,,,,,,0.0124,,0.0319,
currentlegalstatusNBFI,,,,,,,0.0057,0.6093,-0.0083,0.7582
,,,,,,,0.0112,,0.0271,
currentlegalstatusNGO,,,,,,,0.0336,0.0127,-0.0029,0.9296
,,,,,,,0.0135,,0.0330,
ageNew,0.0150,0.1196,0.0179,0.0317,0.0088,0.0372,0.0135,0.0803,0.0157,0.6175
,0.0096,,0.0083,,0.0183,,0.0077,,0.0314,
ageYoung,0.0079,0.1963,0.0080,0.1288,0.0055,0.1438,0.0066,0.2319,0.0260,0.3001
,0.0061,,0.0053,,0.0080,,0.0055,,0.0251,
