,X1,X2,X3,X4,X5,X6,X7
1,(Intercept),0.361656108,0.042910241,3.51E-17,-1.134231718,0.17451317,1.36E-10
2,lassets,-0.026553311,0.004366693,1.20E-09,0.125966634,0.013341373,3.34E-20
3,log10(kkm),-0.001813087,0.00521041,0.727859823,0.032589448,0.01780531,0.067547379
4,log10(education),-0.036562031,0.02364834,0.122087231,0.132692204,0.074491669,0.075215469
5,d_fdev,-0.000373693,0.000382096,0.328070084,0.003395224,0.00159873,0.033979768
6,log10(asset_structure + 1),-0.033469106,0.128616567,0.79469106,-0.061833651,0.468539356,0.895037988
7,log10(profit_margin),0.016843626,0.004687278,0.000326295,-0.181687732,0.021092872,3.34E-17
8,currentlegalstatusCredit Union/ Cooperative,-0.019559375,0.012369901,0.113830706,0.124582805,0.031910872,0.000101974
9,currentlegalstatusNBFI,0.005748849,0.011247956,0.609279888,-0.008347462,0.027101696,0.7581529
10,currentlegalstatusNGO,0.033613655,0.013488182,0.012699671,-0.002914924,0.032960699,0.92955043
11,ageNew,0.013499872,0.007719465,0.080323991,0.015670203,0.031369255,0.617526531
12,ageYoung,0.006550387,0.00547912,0.231884664,0.0260306,0.0251056,0.300099494
