"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"acepack","acepack","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.4.1",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.0"
"addinslist","addinslist","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3",NA,"R (>= 3.1.0)","curl, remotes, DT (>= 0.1), miniUI (>= 0.1), shiny (>=
0.13.2), shinyjs (>= 0.6), rappdirs (>= 0.3.1), rmarkdown,
rvest (>= 0.3.1), utils, xml2 (>= 0.1.2)",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.0"
"AER","AER","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.2-9",NA,"R (>= 3.0.0), car (>= 2.0-19), lmtest, sandwich (>= 2.4-0),
survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)",NA,"boot, dynlm, effects, fGarch, forecast, foreign, ineq,
KernSmooth, lattice, longmemo, MASS, mlogit, nlme, nnet, np,
plm, pscl, quantreg, rgl, ROCR, rugarch, sampleSelection,
scatterplot3d, strucchange, systemfit (>= 1.1-20), truncreg,
tseries, urca, vars",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"airports","airports","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 2.10)",NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"alpaca","alpaca","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.2",NA,"R (>= 3.1.0)","data.table, Formula, MASS, Rcpp, stats, utils","Rcpp, RcppArmadillo","bife, car, knitr, lfe",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"alphavantager","alphavantager","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.2",NA,"R (>= 3.3.0)","dplyr (>= 0.7.0), glue (>= 1.1.1), httr (>= 1.2.1), jsonlite
(>= 1.5), purrr (>= 0.2.2.2), readr (>= 1.1.1), stringr (>=
1.2.0), tibble (>= 1.3.3), tidyr (>= 0.6.3), timetk (>=
0.1.1.1)",NA,"tidyquant, testthat, knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"Amelia","Amelia","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.7.6",NA,"R (>= 3.0.2), Rcpp (>= 0.11)","foreign, utils, grDevices, graphics, methods, stats","Rcpp (>= 0.11), RcppArmadillo","tcltk, Zelig",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.0"
"annotate","annotate","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.66.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), RCurl",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, hom.Hs.inp.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.0"
"AnnotationDbi","AnnotationDbi","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.50.3",NA,"R (>= 2.7.0), methods, utils, stats4, BiocGenerics (>=
0.29.2), Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25)",NA,"hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db, KEGG.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, hom.Hs.inp.db,
org.Hs.eg.db, reactome.db, AnnotationForge, graph,
EnsDb.Hsapiens.v75, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.0.2"
"anytime","anytime","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"aod","aod","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.3.1",NA,"R (>= 2.10), methods, stats",NA,NA,"MASS, boot, lme4",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"ape","ape","C:/Users/John Karuitha/Documents/R/win-library/4.0","5.4-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, tools, utils,
parallel, Rcpp (>= 0.12.0)","Rcpp","gee, expm, igraph",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"aplpack","aplpack","C:/Users/John Karuitha/Documents/R/win-library/4.0","1.3.3",NA,"R (>= 3.0.0)",NA,NA,"tkrplot, jpeg, png, splines, utils, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.0"
"apollo","apollo","C:/Users/John Karuitha/Documents/R/win-library/4.0","0.1.0",NA,"R (>= 3.6.0), stats, utils","Rcpp (>= 1.0.0), maxLik, mnormt, mvtnorm, graphics, coda,
sandwich, randtoolbox, numDeriv, RSGHB, parallel, Deriv","Rcpp, RcppArmadillo, RcppEigen","knitr, rmarkdown, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"apt","apt","C:/Users/John Karuitha/Documents/R/win-library/4.0","3.0",NA,"R (>= 3.0.0), erer","car, urca",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
