"","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.436447206225168,0.0101218186797226,43.1194452336433,1.26048003829602e-318,0.93055368835139,0.0147186141356485,63.2229148597343,0,0.931072323206451,0.0147055097945701,63.3145219861908,0,0.930868776791256,0.0147448684911824,63.1317110320736,0,0.931475908071558,0.0147433139930198,63.1795475910345,0
"currentlegalstatusBank",0.00357511084271934,0.00557513024396738,0.641260506261324,0.521400864621241,-0.0421346035298514,0.00888414039159962,-4.74267646307026,2.20438827031564e-06,-0.0421182151921823,0.00887304235750057,-4.7467614258123,2.16066608563314e-06,-0.0422289986671727,0.00890161277064949,-4.74397165493545,2.1904343517654e-06,-0.0423412472234835,0.00889832152330109,-4.75834089750623,2.04121039544467e-06
"currentlegalstatusNBFI",-0.0072352999271374,0.00412957444912393,-1.75206913358163,0.0798608204203013,-0.0364129512249538,0.00630351172739217,-5.77661354491018,8.37712785388122e-09,-0.0360919725519175,0.00629665659338255,-5.73192646234642,1.08829960919303e-08,-0.0363408460067551,0.00631542679161613,-5.75429772299766,9.54890280709627e-09,-0.036003449142752,0.00631380775028325,-5.70233535240866,1.292879854551e-08
"currentlegalstatusCredit Union/ Cooperative",0.000953392351059664,0.00431193204454769,0.221105606769754,0.825024771159463,-0.0524300556520477,0.00653281072899949,-8.02565049363943,1.41932303461613e-15,-0.0523045744293613,0.00652528738360121,-8.01567369443507,1.53688226844313e-15,-0.0528244126089331,0.00654544757476712,-8.07040496551721,9.9211266091957e-16,-0.0528112676524444,0.0065433038354792,-8.07104010149893,9.87070395140606e-16
"currentlegalstatusRural Bank",-0.00239249476539774,0.0086425984519442,-0.276825861886426,0.781932283770761,-0.0439037861124768,0.010880913283966,-4.03493576014185,5.5936895370407e-05,-0.0440194207994236,0.0108933658925296,-4.04093842378057,5.45314009426875e-05,-0.0436577310535314,0.0108955699805246,-4.00692493660892,6.29616311978686e-05,-0.0436934098987834,0.0109155528015962,-4.00285818711755,6.40484554550877e-05
"ageYoung",0.00268534117298428,0.00351034821920839,0.764978573433335,0.444342552598499,-0.00349528646667329,0.00331842882265183,-1.05329559664327,0.292287652466341,-0.00346548678775173,0.00332573442160017,-1.04202150515805,0.297482990475373,-0.00346335528001673,0.0033241633783557,-1.04187276190073,0.297551944688418,-0.00342749186038836,0.00333331931288549,-1.02825188308208,0.303911605840722
"ageMature",-8.7331662526541e-05,0.0036716937723242,-0.0237851160640937,0.981025543682985,-0.00652002336758224,0.00430187248084402,-1.51562450923767,0.129716313093406,-0.00637020914827335,0.0043046561834096,-1.4798415661684,0.139017178468429,-0.00650472389970914,0.00430897847783642,-1.50957446948661,0.131253984583342,-0.00634791111094907,0.00431470066937391,-1.47122861986859,0.141330830478447
"regionAfrica",0.00653193272783346,0.00806727000960055,0.80968316667969,0.418184458900987,0.0127562392213962,0.0125283167075918,1.01819258876703,0.308665921831359,0.0127637701614124,0.0125130111073607,1.02003986505728,0.307789176946252,0.012413576170758,0.0125510615203751,0.989045918594704,0.322717889998515,0.0123267417852833,0.012546163398335,0.982510859608223,0.325924932540337
"operating_expense_._assets",-0.0637440653024601,0.00948307054569217,-6.72188032297375,2.12696622415293e-11,0.0203765145750027,0.0135190984989638,1.50723915330334,0.131851294285618,0.0192456480283388,0.013504379711763,1.42514120893497,0.154217089491189,0.0201709260087731,0.0135437593089093,1.48931515605895,0.136506155704466,0.0189429020972012,0.0135395234973823,1.3990818879899,0.1618885047928
"debt_to_equity_ratio",-2.04577026306776e-05,2.9441055801548e-05,-0.694869870448123,0.487188949499113,-1.77436203087072e-06,3.52645014056829e-05,-0.050315812223132,0.959873966000844,-1.41600172391164e-06,3.52559349870602e-05,-0.0401634994060248,0.967965364544173,-1.63858268178713e-06,3.55079773563695e-05,-0.0461468887777466,0.963196147292991,-1.24153104341935e-06,3.55485266307556e-05,-0.0349249648604343,0.972141822943009
"donations_assets_ratio",-0.0021616102585478,0.0104025032754175,-0.207797123568897,0.835401032742561,0.00461813019404777,0.0119475534652206,0.38653354492124,0.699128101356838,0.00497096966532925,0.0119532449197738,0.415867799806057,0.677535538062076,0.004584345908883,0.0119623869069309,0.383230031309795,0.701575498566871,0.00495304099051149,0.0119753060161235,0.4136045445388,0.679192363773015
"asset_structure",-0.0830910035804789,0.0207593797264574,-4.00257641005434,6.41244138073287e-05,-0.00490813281937615,0.02875191210556,-0.170706309944062,0.864465844939902,-0.00564588931196401,0.0287485578546545,-0.196388609839429,0.844318887770679,-0.00200490747624589,0.0288021103843787,-0.0696097421157472,0.944508773820406,-0.00192011157185364,0.028819381743606,-0.0666257031096666,0.946883980844657
"kkm",0.000237215080240946,0.00080944432933673,0.293059166200254,0.769496549137521,-0.000775151633779302,0.00118284887886142,-0.655326007938935,0.512306520647325,-0.000728302544977143,0.00118182344497822,-0.616253255147233,0.537772647107214,-0.000756452988358875,0.00118515846796324,-0.638271597264862,0.523344059324304,-0.000700476932787644,0.00118508271005875,-0.591078518690834,0.554510919140067
"education",-0.0148651656046836,0.0105611681106149,-1.40753044066619,0.159370449242801,0.00584499178876132,0.0156903507767798,0.372521422364332,0.709530138890467,0.00538787309261848,0.015675520515334,0.343712547685291,0.731085791021625,0.00520903691281639,0.0157207927079981,0.331346962559097,0.740404825712307,0.00455820050522814,0.0157187193370459,0.289985488479674,0.771846740257614
