liabilities_and_equity,operating_expense_._assets,percent_of_female_borrowers,average_loan_balance_per_borrower,gross_loan_portfolio_to_total_assets,operational_self_sufficiency,finefftheta_hat,se_no_breadththeta_hat,se_with_breadththeta_hat,finsoc_with_breadththeta_hat,finsoc_no_breadththeta_hat
164098187,0.1361,NA,1110,0.8836,1.7445,NA,NA,NA,NA,NA
127380923,0.1281,NA,658,0.8416,1.2542,NA,NA,NA,NA,NA
197187920,0.1341,NA,1110,0.8879,1.2523,NA,NA,NA,NA,NA
291137895,0.1626,NA,1110,0.1191,1.2229,NA,NA,NA,NA,NA
365844882,0.1381,NA,1110,0.1125,1.1556,NA,NA,NA,NA,NA
139069775,0.23965,0.4437,165,0.2963,1.2159,0.4048220154649602,0.8919797334806325,0.8919797334806325,0.8919797334806325,0.8919797334806325
202799352,0.4585,0.2571,247,0.4268,1.2603,0.4077695601143974,0.8517940071327008,0.8517940071327008,0.8518007841703308,0.8517940071327008
303972538,0.3474,0.4958,339,0.4113,1.2884,0.40961917986038515,0.9028113242181834,0.9028113242181834,0.9028113242181834,0.9028113242181834
380359067,0.3288,0.4962,490,0.7465,1.2717,0.4085214061407594,0.9028938582595143,0.9028938582595143,0.9029062424862556,0.9028938582595143
491049605,0.2803,0.4437,499,0.6485,1.2323,0.4059143479582186,0.8919797334806325,0.8919797334806325,0.8919894867582882,0.8919797334806325
1229044430,0.199,0.4437,906,0.591,1.2399,0.406419116353691,0.8919797334806325,0.8919797334806323,0.8919931561382158,0.8919797334806325
2074643247,0.1518,0.4437,906,0.756,1.234,0.4109058667933726,0.8919797334806325,0.8920345655572207,0.8920853008263292,0.8919797334806325
3162228112,0.1295,0.4437,906,0.8001,1.267,0.4200639465426923,0.8919797334806325,0.8920788127049205,0.89211756906252615,0.8919797334806325
4274997101,0.0966,0.4437,906,0.7995,1.2666,0.4308207803803705,0.8919797334806325,0.8921201617295934,0.8921395660539508,0.8919797334806325
290750,0.913,0.78,143,0.3531,0.4722,0.3896558240402396,0.959193117223174,0.959193117223174,0.959193117223174,0.959193117223174
323637,1.1658,0.78,64,0.5622,0.4058,0.3819253596794052,0.959193117223174,0.959193117223174,0.959193117223174,0.959193117223174
558474,0.913,0.7801,65,0.6399,0.4281,0.3755539506401366,0.9592122002384909,0.9592122002384909,0.9592122002384911,0.9592122002384911
521158,0.765,0.75,87,0.988,0.2685,0.36202566736194347,0.9534452978042594,0.9534452978042594,0.9534452978042594,0.9534452978042594
16621,1.25225,0.2609,4095,0.844,0.1025,0.4105425553382489,0.8526350997648732,0.8527617543732824,0.8528047099587427,0.8526350997648732
125083,1.7863,0.2609,4095,0.9408,0.2086,0.3787094789510671,0.8526350997648732,0.8527505400225894,0.8527826341633717,0.8526350997648732
519879,0.7182,0.2609,4095,0.9059,0.4072,0.3747666569724405,0.8526350997648732,0.8527373267401094,0.8527817863877298,0.852635099764873
42691,0.59915,0.9915,107,0.5942,0.3909,0.4199561021619739,0.9984655055406448,0.9984655055406448,0.9984655055406448,0.9984655055406448
88224,0.6624,0.9915,142,0.9444,0.4083,0.40563019482425705,0.9984655055406448,0.9984655055406446,0.9984655055406448,0.9984655055406448
186514,0.5359,0.9915,160,0.8127,0.2284,0.37370267044440264,0.9984655055406448,0.9984655055406448,0.9984655055406448,0.9984655055406448
37460,0.7298,0.8929,136,0.6101,0.2481,0.40807307468255044,0.9804226427565391,0.9804226427565391,0.9804226427565391,0.9804226427565391
67183,0.7298,0.8607,192,0.6977,0.34,0.40472857865764195,0.9744312262038889,0.9744312262038889,0.9744312262038889,0.9744312262038889
1519033,0.6354,0.72,52,0.4574,0.3038,0.35023396721231415,0.9476513106666533,0.9476513106666533,0.9476513106666533,0.9476513106666533
1532769,0.9537,0.74,99,0.3106,0.3661,0.35558537332171275,0.951519135056456,0.9515191350564561,0.951519135056456,0.951519135056456
1311804,0.7729,0.7199,144,0.519,0.3665,0.35776790342834525,0.9476319193436386,0.9476319193436386,0.9476319193436384,0.9476319193436386
2412342,0.7381,0.62,381,0.8628,0.6488,0.3726929645116504,0.9279948486542404,0.9279948486542402,0.9279948486542402,0.9279948486542404
2251494,0.5523,0.71,653,0.6989,0.8934,0.39240120840666776,0.9457095934230393,0.9457095934230393,0.9457095934230393,0.9457095934230393
2904342,0.6354,0.7083,872,0.7237,1.2807,0.415755605210224,0.9453789810708233,0.9453789810708233,0.9453789810708233,0.9453789810708233
3017400,0.6023,0.7199,434,0.705,1.1871,0.40884691205274937,0.9476319193436386,0.9476319193436386,0.9476319193436386,0.9476319193436384
3676919,0.5658,0.6932,463,0.6835,1.0914,0.3992794485777131,0.9424356958798498,0.9424356958798498,0.9424356958798498,0.9424356958798498
6635022,0.0638,0,5015,0.7113,0.7611,0.4038199628730403,0.7924812503605781,0.793572236380611,0.7935746052770849,0.7924812503605783
10711404,0.0638,0,11782,0.9438,1.336,0.44718010165693306,0.7924812503605781,0.7948240172961728,0.794836174952788,0.7929575774240438
15624881,0.0755,0,13561,0.9712,1.4519,0.45093509171961693,0.7924812503605783,0.792899926137485,0.7941217590214283,0.7929067147828052
20779008,0.0614,0.0762,1260,0.3049,1.0475,0.42702577791230223,0.8105746517845014,0.8107184670817991,0.8109047758409719,0.8105746517845012
34525573,0.0606,0.0758,1275,0.2582,1.1241,0.43303494836677103,0.8104808484657159,0.8106058743736075,0.8108931867023221,0.810503842248276
35545840,0.0637,0.0759,3327,0.6602,1.2845,0.44357390116445483,0.8105043004390078,0.8107883509722381,0.8115314014079476,0.8107082510941092
38474902,0.0823,0.349,2002,0.7463,1.2007,0.43104523893663943,0.8718651880223144,0.8720426208730814,0.8720559081561133,0.8718651880223144
34111704,0.064,0.3798,6382,1.0798,1.2874,0.44367183350540135,0.8784689387056276,0.8787760472634919,0.8788087639877084,0.8784689387056276
43748539,0.0827,0.3798,9262,0.962,1.257,0.43490499384039377,0.8784689387056278,0.8787115018019606,0.878723869854463,0.8784689387056276
67579025,0.078,0.3798,9262,0.8438,1.0553,0.42191288502231983,0.8784689387056275,0.8786750621048689,0.8786767611170372,0.8784689387056276
70738853,0.0587,0.3798,7167,0.9281,1.1672,0.4368908096891888,0.8784689387056276,0.8790018247463856,0.8790018247463854,0.8784689387056275
68611688,0.0609,0.3798,7167,0.9637,1.1543,0.43515823992139946,0.8784689387056276,0.8787395992814011,0.8787395992814009,0.8784689387056276
90712,0.3935,0.8994,56,0.411,0.4364,0.40775041243340027,0.9816260769083035,0.9816260769083037,0.9816260769083035,0.9816260769083035
219488,0.3935,0.9095,93,0.3121,0.7384,0.4176172068694511,0.9834920539394161,0.9834920539394163,0.9834920539394161,0.9834920539394163
219488,0.3935,0.9095,132,0.724,0.7384,0.4176172068694511,0.9834920539394161,0.9834920539394161,0.9834920539394161,0.9834920539394163
219488,0.3935,0.9095,182,0.6091,0.7384,0.4176172068694511,0.9834920539394161,0.9834920539394161,0.9834920539394161,0.9834920539394163
538527,0.0493,0.9499,188,0.5844,0.9273,0.42199362362969156,0.9921601932445948,0.9921601932445948,0.9921601932445948,0.9921601932445948
36155,0.6699,0.8,41,0.2718,0.2766,0.41190282339684,0.9629997092781115,0.9629997092781117,0.9629997092781117,0.9629997092781115
33461,0.5915,0.8,38,0.3664,0.3029,0.416455354129474,0.9629997092781115,0.9629997092781115,0.9629997092781115,0.9629997092781115
73810,0.7483,0.8,44,0.3589,0.2653,0.395155675320097,0.9629997092781115,0.9629997092781115,0.9629997092781115,0.9629997092781115
58392,0.7693,0.7312,84,0.7042,0.2634,0.3999322701260094,0.9498198468255236,0.9498198468255236,0.9498198468255236,0.9498198468255236
140096,0.7693,0.7863,142,0.6997,0.3271,0.3882194363109147,0.9603943623308262,0.9603943623308262,0.9603943623308262,0.9603943623308262
115990,0.8832,0.5385,1517,0.17,0.0309,0.36161005476565183,0.9115689596492659,0.9115689596492659,0.9115689596492659,0.9115689596492659
