,V1,Random,Random,Pooled,Pooled,Fixed,Fixed,Random,Random,Pooled,Pooled,Fixed,Fixed,Random,Random,Pooled,Pooled,Fixed,Fixed,Random,Random,Pooled,Pooled,Fixed,Fixed
1,(Intercept),-0.5137,0.0059,-1.1861,0.0000,,,0.3917,0.0000,0.5392,0.0000,,,0.1024,0.0139,-0.0871,0.0783,,,0.0063,0.0170,0.0066,0.0127,,
,,0.1865,,0.1614,,,,0.0419,,0.0364,,,,0.0416,,0.0494,,,,0.0026,,0.0026,,,
2,lassets,0.1118,0.0000,0.1498,0.0000,0.0887,0.0041,-0.0306,0.0000,-0.0366,0.0000,-0.0287,0.0000,0.0078,0.0911,0.0313,0.0000,-0.0003,0.9472,0.0000,0.8374,0.0000,0.8859,0.000615679,0.380156547
,,0.0204,,0.0135,,0.0308,,0.0046,,0.0031,,0.0068,,0.0046,,0.0041,,0.0052,,0.0002,,0.0002,,0.000701,
3,log10(kkm),0.0043,0.8140,0.0279,0.0749,-0.0006,0.9805,0.0003,0.9376,-0.0070,0.0487,0.0033,0.5070,-0.0084,0.0215,0.0061,0.2022,-0.0103,0.0079,-0.0003,0.2622,-0.0003,0.2329,0.000472683,0.392573876
,,0.0183,,0.0156,,0.0227,,0.0041,,0.0035,,0.0050,,0.0037,,0.0048,,0.0038,,0.0002,,0.0002,,0.000552454,
4,log10(education),0.0617,0.5017,0.0446,0.5230,-0.0386,0.7627,-0.0193,0.3506,-0.0064,0.6838,-0.0070,0.8065,0.0136,0.4911,0.0534,0.0131,-0.0153,0.4803,-0.0005,0.6535,-0.0005,0.6354,-0.002313299,0.385224254
,,0.0919,,0.0698,,0.1279,,0.0206,,0.0158,,0.0284,,0.0198,,0.0215,,0.0217,,0.0011,,0.0011,,0.002662099,
5,d_fdev,0.0019,0.7793,0.0168,0.0606,-0.0005,0.9416,-0.0009,0.5632,-0.0034,0.0902,-0.0006,0.6731,-0.0019,0.1025,-0.0016,0.5527,-0.0019,0.0920,0.0001,0.6259,0.0001,0.6324,2.61612E-05,0.86755131
,,0.0067,,0.0090,,0.0068,,0.0015,,0.0020,,0.0015,,0.0012,,0.0028,,0.0012,,0.0001,,0.0001,,0.0001568,
6,log10(asset_structure + 1),-0.4527,0.5009,1.2663,0.0450,-1.7930,0.0225,0.1319,0.3811,-0.3306,0.0208,0.4703,0.0071,-0.2148,0.0968,0.6396,0.0010,-0.3128,0.0189,-0.0068,0.5056,-0.0069,0.4963,-0.008307209,0.647007353
,,0.6726,,0.6307,,0.7834,,0.1506,,0.1427,,0.1741,,0.1294,,0.1937,,0.1329,,0.0102,,0.0102,,0.018131465,
7,log10(profit_margin),-0.0746,0.0000,-0.1403,0.0000,-0.0574,0.0011,0.0157,0.0000,0.0319,0.0000,0.0121,0.0018,-0.0015,0.6048,-0.0186,0.0014,0.0000,0.9994,0.0005,0.1406,0.0005,0.1138,-0.000182876,0.659941026
,,0.0167,,0.0191,,0.0175,,0.0037,,0.0043,,0.0039,,0.0030,,0.0058,,0.0030,,0.0003,,0.0003,,0.000415416,
8,currentlegalstatusCredit Union/ Cooperative,0.1138,0.0515,0.1088,0.0003,,,-0.0330,0.0130,-0.0268,0.0001,,,0.0406,0.0479,0.0470,0.0000,,,0.0001,0.7999,0.0001,0.8441,,
,,0.0585,,0.0301,,,,0.0133,,0.0068,,,,0.0205,,0.0092,,,,0.0005,,0.0005,,,
9,currentlegalstatusNBFI,-0.0207,0.7017,-0.0171,0.5020,,,-0.0016,0.8968,-0.0013,0.8190,,,-0.0305,0.1183,-0.0248,0.0016,,,0.0005,0.1740,0.0005,0.1966,,
,,0.0539,,0.0254,,,,0.0123,,0.0058,,,,0.0195,,0.0078,,,,0.0004,,0.0004,,,
10,currentlegalstatusNGO,-0.0319,0.6023,-0.0136,0.6509,,,-0.0031,0.8235,-0.0071,0.2956,,,-0.0358,0.0943,-0.0038,0.6822,,,0.0002,0.7406,0.0001,0.8076,,
,,0.0612,,0.0301,,,,0.0139,,0.0068,,,,0.0214,,0.0093,,,,0.0005,,0.0005,,,
11,ageNew,-0.0695,0.0288,0.0171,0.6386,-0.1008,0.0029,0.0155,0.0291,-0.0031,0.7053,0.0224,0.0029,0.0060,0.2934,-0.0124,0.2667,0.0064,0.2604,-0.0003,0.5594,-0.0004,0.5325,-3.53515E-05,0.96401952
,,0.0318,,0.0363,,0.0337,,0.0071,,0.0082,,0.0075,,0.0057,,0.0112,,0.0057,,0.0006,,0.0006,,0.000783328,
12,ageYoung,0.0020,0.9187,0.0476,0.0369,-0.0120,0.5664,-0.0016,0.7232,-0.0089,0.0861,0.0012,0.7911,-0.0070,0.0481,-0.0248,0.0004,-0.0050,0.1581,-0.0002,0.5763,-0.0002,0.5151,0.000543049,0.267417336
,,0.0196,,0.0228,,0.020917799,,0.0044,,0.0052,,0.004647821,,0.0035,,0.0070,,0.003547684,,0.0004,,0.0004,,0.000489185,
